size,min_val,max_val,time,resolution,stdev,mad
100,1,2000000,4960.0,71.458,2367.168,80.0
599,1,2000000,34000.0,72.505,2632.424,360.0
1098,1,2000000,65180.5,74.375,4301.359,1020.0
1597,1,2000000,98741.0,77.5,4299.868,2200.5
2096,1,2000000,132001.0,74.792,5174.093,2680.0
2595,1,2000000,167361.0,73.75,5473.781,3460.0
3094,1,2000000,202221.5,78.75,5428.341,3260.5
3593,1,2000000,237681.5,76.875,5642.945,3399.5
4092,1,2000000,273341.5,84.167,5862.509,4059.5
4591,1,2000000,307282.0,87.708,7261.808,4160.5
5090,1,2000000,342582.0,85.208,7200.486,5220.0
5589,1,2000000,377882.0,127.917,8765.819,5680.0
6088,1,2000000,416902.0,106.25,24091.879,5180.0
6587,1,2000000,454222.0,86.255,8845.971,5280.0
7086,1,2000000,489723.0,80.417,8692.808,5639.5
7585,1,2000000,527423.5,81.458,8186.027,5020.0
8084,1,2000000,561783.5,85.833,10162.929,6540.0
8583,1,2000000,602464.0,88.125,9504.247,6979.5
9082,1,2000000,635004.0,88.542,10313.83,6480.0
9581,1,2000000,677104.0,95.833,10776.828,6820.0
10080,1,2000000,706624.0,83.339,10614.34,6880.0
10579,1,2000000,752444.5,94.167,9864.495,6140.0
11078,1,2000000,779944.5,91.255,10437.439,6899.5
11577,1,2000000,825865.0,86.25,11470.616,7300.0
12076,1,2000000,862365.0,86.042,12672.981,8340.0
12575,1,2000000,904025.5,95.208,10813.514,6880.0
13074,1,2000000,944085.5,88.542,12712.075,8420.0
13573,1,2000000,977765.5,111.875,12265.079,7480.0
14072,1,2000000,1016666.0,89.375,13441.161,8380.0
14571,1,2000000,1052186.5,91.25,14320.167,9460.5
15070,1,2000000,1097726.5,95.417,12627.19,8280.0
15569,1,2000000,1128347.0,93.125,13399.69,8760.0
16068,1,2000000,1169587.0,108.333,13120.028,8659.5
16567,1,2000000,1213647.0,90.833,16560.824,10700.0
17066,1,2000000,1247708.0,90.417,14582.077,10680.5
17565,1,2000000,1280768.0,90.208,15018.385,10380.0
18064,1,2000000,1317368.0,92.292,15834.466,11420.0
18563,1,2000000,1365288.0,93.125,14862.977,9740.0
19062,1,2000000,1398948.0,95.0,16488.958,11480.0
19561,1,2000000,1441388.5,95.208,19576.539,11420.0
20060,1,2000000,1480088.5,97.5,15597.56,9759.5
20559,1,2000000,1526229.0,96.667,16209.371,10280.0
21058,1,2000000,1557309.5,95.833,19456.092,10540.0
21557,1,2000000,1596369.0,97.292,16933.594,11900.5
22056,1,2000000,1638530.0,92.917,16000.692,11020.0
22555,1,2000000,1677729.0,92.708,19205.909,11440.0
23054,1,2000000,1714990.0,93.75,19424.125,12780.0
23553,1,2000000,1751510.0,92.917,19160.631,13620.0
24052,1,2000000,1792810.0,93.125,17200.288,10900.0
24551,1,2000000,1828151.0,92.292,19889.97,13740.0
25050,1,2000000,1873231.0,93.75,19884.678,11940.0
25549,1,2000000,1895251.0,92.708,21387.647,11740.0
26048,1,2000000,1938871.5,90.417,21001.225,13740.0
26547,1,2000000,1991771.5,106.875,22784.458,14439.5
27046,1,2000000,2021991.5,90.0,21163.972,13580.5
27545,1,2000000,2074712.0,98.125,22084.454,15160.0
28044,1,2000000,2082012.0,97.917,15179.67,9380.5
28543,1,2000000,2125332.0,95.833,18946.462,10200.0
29042,1,2000000,2168772.0,92.917,23438.769,13860.0
29541,1,2000000,2200992.5,90.0,17694.179,12340.0
30040,1,2000000,2242253.0,95.422,18406.001,9560.5
30539,1,2000000,2278953.5,94.167,17242.555,10720.0
31038,1,2000000,2322373.0,90.625,15657.052,10400.0
31537,1,2000000,2361033.5,91.042,18753.236,12640.0
32036,1,2000000,2404674.0,88.125,16633.398,11700.0
32535,1,2000000,2449674.0,90.0,23584.68,14400.0
33034,1,2000000,2480554.0,99.167,20162.63,12940.0
33533,1,2000000,2512055.0,93.333,18990.835,12921.0
34032,1,2000000,2557614.0,98.125,21711.442,13900.0
34531,1,2000000,2594735.0,95.417,24364.807,14280.5
35030,1,2000000,2633635.0,109.583,20993.967,13100.0
35529,1,2000000,2683095.0,95.208,20161.932,11459.5
36028,1,2000000,2718316.0,94.792,18514.111,11681.0
36527,1,2000000,2758496.0,95.625,22107.358,14960.0
37026,1,2000000,2800456.0,100.833,19274.625,10920.0
37525,1,2000000,2832636.0,92.708,19261.446,13020.0
38024,1,2000000,2881656.0,101.042,21701.451,11980.5
38523,1,2000000,2924077.0,89.583,22219.761,16220.0
39022,1,2000000,2961257.0,99.177,22197.178,14360.0
39521,1,2000000,3000817.0,92.292,24452.37,17000.0
40020,1,2000000,3046457.5,101.25,30019.978,15780.0
40519,1,2000000,3083997.5,99.792,24746.918,14120.5
41018,1,2000000,3118577.5,94.797,24900.483,15659.5
41517,1,2000000,3162518.0,96.677,22304.491,15280.0
42016,1,2000000,3198957.5,115.417,25088.913,16720.5
42515,1,2000000,3241338.5,102.708,22885.93,14220.0
43014,1,2000000,3277438.5,99.375,25363.281,16180.0
43513,1,2000000,3321119.0,95.417,24057.575,15800.0
44012,1,2000000,3363458.5,95.208,25858.97,19380.5
44511,1,2000000,3407259.0,99.375,22622.176,16380.0
45010,1,2000000,3447259.0,96.667,21846.903,15020.0
45509,1,2000000,3500279.5,94.583,23128.931,14500.0
46008,1,2000000,3528399.5,95.0,24309.963,15420.5
46507,1,2000000,3562820.0,92.505,25182.774,16480.0
47006,1,2000000,3609300.0,99.167,26959.317,16180.0
47505,1,2000000,3648380.0,100.208,26891.573,15860.0
48004,1,2000000,3687320.5,97.917,29367.352,18940.5
48503,1,2000000,3720020.5,96.042,24925.889,16780.0
49002,1,2000000,3765701.0,100.208,24987.798,15360.0
49501,1,2000000,3805081.0,97.708,25090.092,16560.0
50000,1,2000000,3847441.0,105.417,27084.159,17260.5
50499,1,2000000,3899161.5,95.0,23877.498,16480.0
50998,1,2000000,3936221.5,94.375,25180.021,16720.0
51497,1,2000000,3969242.0,93.333,29293.3,21460.0
51996,1,2000000,4005142.0,97.292,25927.051,18580.5
52495,1,2000000,4046902.5,101.042,26582.845,16700.5
52994,1,2000000,4094882.5,100.0,25952.799,15480.0
53493,1,2000000,4141083.0,101.667,39756.889,23760.0
53992,1,2000000,4234563.0,97.917,31900.142,19820.0
54491,1,2000000,4214363.5,97.292,30491.77,20880.0
54990,1,2000000,4249583.5,104.583,29352.988,17660.0
55489,1,2000000,4301463.5,113.542,29486.784,16060.5
55988,1,2000000,4340264.0,104.583,30787.106,18180.0
56487,1,2000000,4378084.0,109.792,32553.63,20900.0
56986,1,2000000,4423584.0,102.083,30543.158,21380.0
57485,1,2000000,4455484.0,102.083,30393.403,20380.0
57984,1,2000000,4493364.5,103.958,27525.387,18940.0
58483,1,2000000,4544165.0,105.208,29747.197,19260.0
58982,1,2000000,4576224.5,103.958,33230.023,18800.0
59481,1,2000000,4665266.0,110.625,48487.28,34040.5
59980,1,2000000,4676985.0,107.292,41926.768,26900.5
60479,1,2000000,4713425.5,106.875,42223.16,26420.5
60978,1,2000000,4812106.0,110.833,45920.274,30200.5
61477,1,2000000,4850086.0,124.583,42498.418,27920.0
61976,1,2000000,4895366.0,108.333,34269.38,24560.0
62475,1,2000000,4941246.5,124.172,45154.735,27920.5
62974,1,2000000,4981747.0,113.75,47887.274,30360.5
63473,1,2000000,4997827.0,112.708,53937.255,37600.5
63972,1,2000000,5036587.0,110.417,47776.625,34760.0
64471,1,2000000,5067908.0,112.917,64964.426,34081.0
64970,1,2000000,5150128.0,111.875,54615.713,38359.5
65469,1,2000000,5156947.5,108.542,47982.616,36700.5
65968,1,2000000,5204748.0,112.917,47470.651,32500.0
66467,1,2000000,5245848.0,116.042,49628.262,36080.0
66966,1,2000000,5268828.0,115.214,52523.81,38220.0
67465,1,2000000,5333872.5,122.5,55870.606,40839.5
67964,1,2000000,5385812.0,115.417,51958.55,38100.0
68463,1,2000000,5427432.5,121.25,57952.465,40260.5
68962,1,2000000,5486933.0,120.63,55446.534,38500.5
69461,1,2000000,5475752.0,118.75,48331.764,33940.5
69960,1,2000000,5572113.0,143.547,55592.312,40160.0
70459,1,2000000,5613773.0,115.417,49057.635,29200.0
70958,1,2000000,5647193.5,117.083,49510.312,31860.5
71457,1,2000000,5697654.0,141.042,55681.891,38200.5
71956,1,2000000,5707533.0,124.375,58493.861,40060.5
72455,1,2000000,5748233.0,122.708,59625.971,47361.5
72954,1,2000000,5775273.0,116.464,57262.24,42400.5
73453,1,2000000,5833234.0,114.583,54851.243,35721.0
73952,1,2000000,5905354.0,116.042,52703.931,37041.0
74451,1,2000000,5949495.0,114.792,45172.309,29000.5
74950,1,2000000,5964334.0,116.042,58246.222,43421.0
75449,1,2000000,5984013.5,111.25,59255.469,40620.5
75948,1,2000000,6035775.0,116.667,61497.028,44601.0
76447,1,2000000,6096954.5,113.958,63901.884,47121.0
76946,1,2000000,6116714.5,116.88,62455.887,38580.5
77445,1,2000000,6171775.5,111.88,52658.051,33901.5
77944,1,2000000,6260595.5,109.177,51255.072,36380.5
78443,1,2000000,6275175.5,114.583,55871.739,36820.5
78942,1,2000000,6309075.5,110.208,58724.691,38700.0
79441,1,2000000,6367056.0,117.089,50170.907,33680.5
79940,1,2000000,6398956.0,114.792,55572.311,39160.5
80439,1,2000000,6424775.0,117.714,63401.95,42180.0
80938,1,2000000,6415554.5,113.13,53857.61,32720.5
81437,1,2000000,6527175.0,123.964,57066.719,33620.0
81936,1,2000000,6575555.5,114.375,62649.044,42520.5
82435,1,2000000,6582215.0,113.333,57322.142,36860.5
82934,1,2000000,6629655.5,116.672,63944.816,40300.5
83433,1,2000000,6704736.0,116.25,50368.81,34620.5
83932,1,2000000,6744955.5,112.505,53936.102,32620.5
84431,1,2000000,6781135.5,111.042,54252.599,42300.0
84930,1,2000000,6842676.0,111.458,70698.965,40881.0
85429,1,2000000,6783034.5,120.625,61809.579,29840.0
85928,1,2000000,6826055.0,124.792,46511.613,31220.0
86427,1,2000000,6864454.5,113.339,45564.264,31760.0
86926,1,2000000,6905714.5,117.917,47688.296,34760.5
87425,1,2000000,6953235.0,114.797,42555.055,27440.5
87924,1,2000000,6994795.0,117.083,44569.353,31021.0
88423,1,2000000,7027514.5,113.542,46000.123,28280.5
88922,1,2000000,7073255.0,117.927,48073.671,27600.5
89421,1,2000000,7123014.0,134.792,47081.195,32580.0
89920,1,2000000,7176974.5,118.542,45422.367,27020.5
90419,1,2000000,7210614.5,117.083,44294.767,27800.5
90918,1,2000000,7262875.0,122.51,55070.765,40380.5
91417,1,2000000,7298735.0,125.417,51496.176,33080.5
91916,1,2000000,7350555.0,117.292,45607.703,33040.5
92415,1,2000000,7371975.0,126.667,48556.857,33121.0
92914,1,2000000,7416534.0,121.25,48304.283,31360.0
93413,1,2000000,7477975.0,143.13,47970.375,31060.0
93912,1,2000000,7531455.0,135.833,66515.573,44481.0
94411,1,2000000,7549134.5,119.583,47625.31,30400.5
94910,1,2000000,7586314.5,122.292,46312.064,30520.0
95409,1,2000000,7639154.0,115.208,50228.612,31021.5
95908,1,2000000,7672395.0,112.297,45571.212,29481.0
96407,1,2000000,7719294.5,113.542,50581.919,33160.5
96906,1,2000000,7752414.0,115.833,49588.219,34780.5
97405,1,2000000,7801914.0,118.75,52609.227,34640.5
97904,1,2000000,7841534.0,112.51,730426.72,33920.5
98403,1,2000000,7898274.5,115.208,48234.175,31800.0
98902,1,2000000,8002054.5,113.958,74286.301,47520.5
99401,1,2000000,7995274.0,118.333,65541.254,40800.5
